Author and Year,Year,BibteX Entry,Paper,URL,Domain,Sub-Domain,#Users (single or multi),Single/MiXed EXpertise,Data Types,Tasks,Interaction Patterns,Device Constraints,Overlays or Linked Views,Number of Overlays,Encodings,"Evaluation type (e.g., case study)",Users,
McLendon-2012,2012,,On the Use of Graph Search Techniques for the Analysis of EXtreme-Scale Combustion Simulation Data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6378976,Engineering,Physics,Single,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Case Study,Domain,
Widanagamaachchi-2012,2012,,Interactive EXploration of Large-Scale Time-Varying Data using Dynamic Tracking Graphs,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6378962,Engineering,Physical Science,Single,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,Restrictive on number of nodes,Hybrid,1,See Encodings,Case Study,Vizards,
Kurzhals-2013,2013,See BibteX,Space-Time Visual Analytics of Eye-Tracking Data for Dynamic Stimuli,http://ieeeXplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6634139,Eye-tracking,Physcial Science (Eye Tracking),Multi,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,User Study,Domain,
Molchanov-2013,2013,See BibteX,Continuous Representation of Projected Attribute Spaces of Multifields over Any Spatial Sampling,http://onlinelibrary.wiley.com/doi/10.1111/cgf.12117/epdf,Engineering,General (Motion),Single ,MiXed,Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Case Study,Domain,
Beham-2014,2014,See BibteX,Cupid: Cluster-Based EXploration of Geometry Generators with Parallel Coordinates and Radial Trees,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6875958,Engineering,General (Shape Generation),Multi,MiXed,Network / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Case Study,Domain,
Chaudhuri-2014,2014,See BibteX,EXploring Flow Fields Using Space-Filling Analysis of Streamlines,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6767149,Engineering,Physical Sciece,Single,MiXed,Table / Field,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Case Study,Vizards,
Hong-2014,2014,See BibteX,FLDA: Latent Dirichlet Allocation Based Unsteady Flow Analysis,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6875956,Engineering,Physics,Single,MiXed,Table / Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Case Study,Vizards,
Ganuza-2014,2014,,The Spinel EXplorer - Interactive Visual Analysis of Spinel Group Minerals,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6875977,Engineering,Physical Sciece (Geological),Single,Single,Table / Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Case Study,Domain,
Liu-2014,2014,,Multivariate Volume Visualization through Dynamic Projections,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7013202,Engineering,Physical Sciece (Geological),Single,MiXed,Table / Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Case Study,Vizards,
Nouanesengsy-2014,2014,,ADR Visualization: A Generalized Framework for Ranking Large-Scale Scientific Data using Analysis-Driven Refinement,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7013203,Engineering,Physical Science (Oceanic),Single,MiXed,Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Overlays,2,See Encodings,Case Study / Quantitative Analysis,Domain,
Wong-2014,2014,,Visual Analytics of Large-Scale Climate Model Data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7013208,Engineering,Physical Science (Climate),Multi,MiXed,Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,User Study,Domain,
Guo 2015,2015,See BibteX,"EXtracting, Tracking, and Visualizing Magnetic FluX Vortices in 3D CompleX-Valued Superconductor Simulation Data",http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7192679,Engineering,Generic (Trajectory),Single,MiXed,Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Qualitative Analysis,Domain,
Chen 2015,2015,See BibteX,Visualization and Analysis of Rotating Stall for Transonic Jet Engine Simulation,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7192672,Engineering,Physics (Flow),Multi,MiXed,Table / Field / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,Doesn't distinguish locations of anomalous regions.,Hybrid,1,See Encodings,Feedback,Domain,
Liu-2015,2015,See BibteX,Association Analysis for Visual EXploration of Multivariate Scientific Data Sets,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7192697,Engineering,Generic,Single,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,,Hyrid,1,See Encodings,Case Study,Vizards,
Gu-2015,2015,See BibteX,Mining Graphs for Understanding Time-Varying Volumetric Data,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7194853,Engineering,Physical Science (Climate),Multi,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Feedback,Domain,
Sorger-2015,2015,See BibteX,LiteVis: Integrated Visualization for Simulation-Based Decision Support in Lighting Design,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7192703,Engineering,Physical Science (Lighting),Multi,MiXed,Table / Geometry,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,1,See Encodings,Case Study,Domain,
Neuroth-2015,2015,See BibteX,Scalable Visualization of Discrete Velocity Decompositions Using Spatially Organized Histograms,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=7348073,Engineering,Physics (Flow),Multi,MiXed,Table / Field,See Tasks Sheet,See Interaction Patterns Sheet,,Hybrid,2,See Encodings,Case Study,Vizards,
Widanagamaachchi-2015,2015,,Tracking Features in Embedded Surfaces: Understanding EXtinction in Turbulent Combustion,http://ieeeXplore.ieee.org.proXy.cc.uic.edu/stamp/stamp.jsp?tp=&arnumber=6378962,Engineering,Physical Science,Single,MiXed,Field / Network,See Tasks Sheet,See Interaction Patterns Sheet,Restrictive on number of nodes,Hybrid,1,See Encodings,Case Study,Vizards,
